what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1291327345767
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1291327345767
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1291327345768
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1291327345768
os,sysinfo,,,"linux",1291327345771
arch,sysinfo,,,"x86_64",1291327345771
ws,sysinfo,,,"gtk",1291327345771
locale,sysinfo,,,"en_AU",1291327345771
processors,sysinfo,,,"2",1291327345771
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1291327345771
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1291327345771
java.specification.name,sysinfo,,,"Java Platform API Specification",1291327345771
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291327345771
java.specification.version,sysinfo,,,"1.6",1291327345771
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291327345771
java.version,sysinfo,,,"1.6.0_22",1291327345771
java.vm.info,sysinfo,,,"mixed mode",1291327345771
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1291327345771
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291327345771
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291327345771
java.vm.specification.version,sysinfo,,,"1.0",1291327345771
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291327345771
java.vm.version,sysinfo,,,"17.1-b03",1291327345771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291327354146
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1291327368901
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1291327368928
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1291327369182
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1291327369326
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1291327369726
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1291327369969
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1291327370110
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1291327371002
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1291327371050
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1291327371161
opened,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291327371295
activated,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291327371562
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.edit.text.openLocalFile",1291327371586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291327371600
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1291327372591
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1291327372776
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1291327377358
closed,editor,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1291327377358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291327383479
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1291327409105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291327409128
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291327412928
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1291327413398
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291327413538
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291327413545
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1291327413546
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1291327413547
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1291327413548
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1291327413549
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1291327413551
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1291327413554
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291327413555
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1291327413560
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1291327413560
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1291327413563
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.302.v201009091745,"org.eclipse.wst.jsdt.web.ui",1291327413567
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1291327413567
stopped,bundle,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.ui",1291327413568
stopped,bundle,org.eclipse.wst.css.ui,1.0.501.v201008232042,"org.eclipse.wst.css.ui",1291327413569
stopped,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1291327413569
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1291327413570
stopped,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1291327413650
stopped,bundle,net.sourceforge.phpeclipse.debug.ui,1.2.3.200910091456PRD,"net.sourceforge.phpeclipse.debug.ui",1291327413652
